# Directed graph: Erdos–Renyi.txt 
# Nodes: 18772 Edges: 198110
# FromNodeId	ToNodeId
0	263
0	872
0	1364
0	1814
0	4369
0	11841
0	14502
1	84
1	562
1	3518
1	3557
1	3951
1	4370
1	5727
1	5853
1	7291
1	9068
1	9252
1	10253
1	10795
1	12220
1	12542
1	14331
1	14733
2	449
2	479
2	2017
2	3969
2	4794
2	13244
2	17427
3	34
3	440
3	600
3	1173
3	1516
3	3448
3	5098
3	5759
3	11149
3	12632
3	15411
3	15446
3	17471
3	17610
4	6766
4	8384
4	9919
4	15024
4	15250
4	15698
4	16675
4	18343
5	1649
5	1974
5	3881
5	3994
5	7468
5	8038
5	9068
5	9710
5	13824
5	14428
5	15099
5	15887
6	258
6	1322
6	1432
6	4305
6	4455
6	4755
6	5572
6	7523
6	8147
6	11870
6	14120
6	14306
6	14657
6	17738
6	17997
6	18761
7	1587
7	3205
7	4333
7	8510
7	9719
7	13479
7	14200
7	15188
7	15915
7	16640
7	16935
7	18033
8	1283
8	2578
8	2739
8	3497
8	4832
8	5625
8	7394
8	9244
8	11476
8	12959
8	14926
8	17115
8	17475
9	777
9	919
9	1551
9	1908
9	2586
9	6019
9	8787
9	10951
9	13021
9	13889
9	14288
9	16968
9	18522
10	623
10	2921
10	3295
10	3325
10	6720
10	7267
10	8531
10	9287
10	10750
10	11349
10	13414
10	13726
10	13730
10	14338
10	15684
10	16708
10	18387
11	704
11	1285
11	1784
11	5808
11	7126
11	7191
11	9664
11	10251
11	10915
11	11997
12	3279
12	4068
12	4089
12	5101
12	5818
12	7225
12	10028
12	10443
12	10568
12	12952
12	13331
12	15298
12	16181
12	18137
13	147
13	3972
13	5501
13	5682
13	5700
13	7682
13	10242
13	11565
14	2628
14	5618
14	6580
14	8909
14	11022
14	11976
14	12064
14	14528
14	15188
14	16828
14	17406
15	3215
15	3915
15	4755
15	5292
15	7676
15	8233
15	8381
15	8642
15	8882
15	16421
15	18479
16	4364
16	5533
